MSTRG.3949.1	jg21123.t1
MSTRG.14823.1	jg18544.t1
MSTRG.14825.1	jg18545.t1
MSTRG.14827.1	jg18546.t1
MSTRG.14830.1	jg18547.t1
MSTRG.14831.1	jg18548.t1
MSTRG.14832.1	jg18549.t1
MSTRG.14837.1	jg18550.t1
MSTRG.14838.1	jg18551.t1
MSTRG.14839.1	jg18552.t1
MSTRG.14840.1	jg18553.t1
MSTRG.14844.1	jg18554.t1
MSTRG.2320.1	jg10614.t2
MSTRG.31589.1	jg211.t1
MSTRG.14856.1	jg18555.t1
MSTRG.14860.1	jg18557.t1
MSTRG.1486.1	jg10156.t1
MSTRG.14864.1	jg18560.t1
MSTRG.14868.1	jg18562.t1
MSTRG.14869.1	jg18564.t1
MSTRG.14870.1	jg18565.t1
MSTRG.1487.1	jg10157.t1
MSTRG.14871.1	jg18566.t2
MSTRG.14874.1	jg18567.t1
MSTRG.14876.1	jg18568.t1
MSTRG.14877.1	jg18569.t1
MSTRG.14879.1	jg18570.t1
MSTRG.2540.1	jg10734.t1
MSTRG.14886.1	jg18572.t1
MSTRG.14887.1	jg18574.t1
MSTRG.1489.1	jg10158.t1
MSTRG.14891.1	jg18575.t1
MSTRG.14898.1	jg18581.t1
MSTRG.14899.1	jg18582.t1
MSTRG.14900.1	jg18583.t1
MSTRG.14901.1	jg18584.t1
MSTRG.1490.1	jg10159.t1
MSTRG.17098.1	jg11264.t1
MSTRG.14907.1	jg18586.t1
MSTRG.14909.1	jg18587.t1
MSTRG.35152.1	jg16685.t1
MSTRG.19993.1	jg8362.t2
MSTRG.14918.1	jg18592.t1
MSTRG.14920.1	jg18593.t1
MSTRG.1492.1	jg10162.t1
MSTRG.14924.1	jg18597.t1
MSTRG.14928.1	jg18598.t1
MSTRG.14930.1	jg18599.t1
MSTRG.14931.1	jg18600.t1
MSTRG.18904.1	jg7719.t1
MSTRG.14934.1	jg18604.t1
MSTRG.14935.1	jg18605.t1
MSTRG.14937.1	jg18606.t1
MSTRG.14939.1	jg18608.t1
MSTRG.14943.1	jg18609.t1
MSTRG.14950.1	jg18612.t1
MSTRG.14953.1	jg18613.t1
MSTRG.14954.1	jg18614.t1
MSTRG.14958.1	jg18616.t1
MSTRG.14959.1	jg18617.t1
MSTRG.14960.1	jg18618.t1
MSTRG.14962.1	jg18619.t1
MSTRG.7928.1	jg17826.t1
MSTRG.14965.1	jg18621.t1
MSTRG.14966.1	jg18622.t1
MSTRG.14967.1	jg18624.t1
MSTRG.14968.1	jg18625.t1
MSTRG.14973.1	jg18627.t1
MSTRG.14974.1	jg18628.t1
MSTRG.3306.1	jg12176.t1
MSTRG.1498.1	jg10164.t1
MSTRG.14983.1	jg18629.t1
MSTRG.14985.1	jg18630.t1
MSTRG.14989.1	jg18634.t1
MSTRG.14990.1	jg18635.t1
MSTRG.14991.1	jg18636.t1
MSTRG.14992.1	jg18637.t1
MSTRG.14993.1	jg18638.t1
MSTRG.14995.1	jg18639.t1
MSTRG.1500.1	jg10165.t1
MSTRG.19693.1	jg8180.t1
MSTRG.15005.1	jg18641.t1
MSTRG.15010.1	jg18644.t1
MSTRG.35845.1	jg15659.t1
MSTRG.17347.1	jg11414.t1
MSTRG.15020.1	jg18645.t1
MSTRG.15025.1	jg18646.t1
MSTRG.15027.1	jg18648.t1
MSTRG.15028.1	jg18649.t1
MSTRG.1503.1	jg10167.t1
MSTRG.15034.1	jg18650.t1
MSTRG.15035.1	jg18651.t1
MSTRG.15039.1	jg18653.t1
MSTRG.15040.1	jg18654.t1
MSTRG.1504.1	jg10168.t1
MSTRG.15049.1	jg18657.t1
MSTRG.15050.1	jg18658.t1
MSTRG.1505.1	jg10169.t1
MSTRG.15052.1	jg18659.t1
MSTRG.15056.1	jg18664.t1
MSTRG.15060.1	jg18665.t1
MSTRG.15061.1	jg18666.t1
MSTRG.15062.1	jg18667.t1
MSTRG.15065.1	jg18669.t1
MSTRG.15066.1	jg18673.t1
MSTRG.15067.1	jg18670.t1
MSTRG.15070.1	jg18675.t1
MSTRG.1507.1	jg10171.t1
MSTRG.15072.1	jg18676.t1
MSTRG.15074.1	jg18680.t1
MSTRG.1508.1	jg10172.t1
MSTRG.15086.1	jg18681.t1
MSTRG.15087.1	jg18683.t1
MSTRG.15089.1	jg18684.t1
MSTRG.1509.1	jg10174.t1
MSTRG.15091.1	jg18686.t1
MSTRG.15098.1	jg18655.t1
MSTRG.15102.1	jg18691.t1
MSTRG.15107.1	jg18692.t1
MSTRG.15108.1	jg18693.t1
MSTRG.5987.1	jg20982.t1
MSTRG.15114.1	jg18696.t1
MSTRG.15117.1	jg18707.t1
MSTRG.15118.1	jg18708.t1
MSTRG.15119.1	jg18709.t1
MSTRG.15120.1	jg18710.t1
MSTRG.15122.1	jg18711.t2
MSTRG.15126.1	jg18713.t1
MSTRG.15127.1	jg18714.t1
MSTRG.15130.1	jg18715.t1
MSTRG.23132.1	jg9102.t1
MSTRG.15142.1	jg18724.t1
MSTRG.15143.1	jg18727.t1
MSTRG.15146.1	jg18728.t1
MSTRG.15149.1	jg18729.t1
MSTRG.6035.1	jg21013.t1
MSTRG.15154.1	jg18732.t1
MSTRG.20046.1	jg8397.t1
MSTRG.15160.1	jg18735.t1
MSTRG.1517.1	jg10175.t1
MSTRG.15192.1	jg18747.t1
MSTRG.15169.1	jg18739.t1
MSTRG.15174.1	jg18740.t1
MSTRG.15176.1	jg18742.t1
MSTRG.15184.1	jg18743.t1
MSTRG.15185.1	jg18744.t1
MSTRG.15198.1	jg18748.t1
MSTRG.15201.1	jg18749.t1
MSTRG.1520.1	jg10177.t1
MSTRG.15202.1	jg18751.t1
MSTRG.15203.1	jg18752.t1
MSTRG.15205.1	jg18754.t1
MSTRG.1521.1	jg10178.t1
MSTRG.15212.1	jg18757.t1
MSTRG.15214.1	jg18758.t1
MSTRG.15221.1	jg18759.t1
MSTRG.29783.1	jg18763.t1
MSTRG.15224.1	jg18762.t1
MSTRG.32807.1	jg16712.t1
MSTRG.15229.1	jg18764.t1
MSTRG.15230.1	jg16738.t1
MSTRG.15233.1	jg18768.t1
MSTRG.15234.1	jg18769.t1
MSTRG.15235.1	jg18770.t1
MSTRG.15239.1	jg18771.t1
MSTRG.15241.1	jg18772.t1
MSTRG.15245.1	jg18773.t1
MSTRG.28227.1	jg17456.t1
MSTRG.7589.1	jg17645.t1
MSTRG.15251.1	jg18777.t1
MSTRG.15252.1	jg18778.t1
MSTRG.15253.1	jg18780.t1
MSTRG.15256.1	jg18781.t1
MSTRG.1526.1	jg10181.t1
MSTRG.15263.1	jg953.t1
MSTRG.1527.1	jg10183.t1
MSTRG.15277.1	jg18799.t1
MSTRG.24853.1	jg9975.t1
MSTRG.15279.1	jg18801.t1
MSTRG.15283.1	jg18802.t1
MSTRG.1528.1	jg10184.t1
MSTRG.15285.1	jg18803.t1
MSTRG.15286.1	jg18806.t1
MSTRG.1529.1	jg10185.t1
MSTRG.15291.1	jg18816.t3
MSTRG.15293.1	jg18819.t1
MSTRG.1530.1	jg10186.t1
MSTRG.15302.1	jg18829.t1
MSTRG.15303.1	jg18830.t1
MSTRG.15304.1	jg18831.t1
MSTRG.25687.1	jg14526.t1
MSTRG.18394.1	jg21982.t1
MSTRG.15311.1	jg18833.t1
MSTRG.1531.1	jg9313.t1
MSTRG.15316.1	jg6327.t1
MSTRG.15318.1	jg18837.t1
MSTRG.15320.1	jg18839.t1
MSTRG.15321.1	jg18841.t1
MSTRG.15322.1	jg18842.t1
MSTRG.15324.1	jg18843.t1
MSTRG.15325.1	jg18844.t1
MSTRG.15327.1	jg18845.t1
MSTRG.15329.1	jg18848.t1
MSTRG.15330.1	jg18849.t1
MSTRG.15335.1	jg18851.t1
MSTRG.25208.1	jg14254.t1
MSTRG.15340.1	jg18853.t1
MSTRG.15341.1	jg18855.t1
MSTRG.2050.1	jg10458.t1
MSTRG.15347.1	jg18856.t1
MSTRG.15349.1	jg18857.t1
MSTRG.15351.1	jg18858.t1
MSTRG.15352.1	jg18859.t1
MSTRG.15353.1	jg18860.t1
MSTRG.15354.1	jg18861.t1
MSTRG.15363.1	jg18862.t1
MSTRG.15370.1	jg18866.t1
MSTRG.15375.1	jg18870.t1
MSTRG.15380.1	jg18873.t1
MSTRG.24542.1	jg9803.t1
MSTRG.15382.1	jg18872.t1
MSTRG.15389.1	jg18875.t1
MSTRG.15395.1	jg18876.t1
MSTRG.15397.1	jg18877.t1
MSTRG.15398.1	jg18878.t1
MSTRG.24775.1	jg9938.t1
MSTRG.16541.1	jg10967.t1
MSTRG.15410.1	jg18900.t1
MSTRG.15419.1	jg18921.t1
MSTRG.15420.1	jg18922.t1
MSTRG.15423.1	jg18926.t1
MSTRG.15425.1	jg18927.t1
MSTRG.15426.1	jg18931.t1
MSTRG.15428.1	jg18932.t1
MSTRG.15431.1	jg843.t1
MSTRG.1543.1	jg17452.t1
MSTRG.26205.1	jg13252.t1
MSTRG.15441.1	jg845.t1
MSTRG.1544.1	jg10188.t1
MSTRG.15447.1	jg849.t1
MSTRG.15449.1	jg850.t1
MSTRG.15450.1	jg852.t1
MSTRG.15451.1	jg853.t1
MSTRG.28197.1	jg20498.t1
MSTRG.21946.1	jg7177.t1
MSTRG.15453.1	jg855.t1
MSTRG.15454.1	jg856.t1
MSTRG.15455.1	jg857.t1
MSTRG.15456.1	jg858.t1
MSTRG.15463.1	jg860.t1
MSTRG.15465.1	jg862.t1
MSTRG.30064.1	jg2615.t1
MSTRG.15468.1	jg864.t1
MSTRG.171.1	jg14981.t1
MSTRG.15482.1	jg869.t1
MSTRG.4809.1	jg3242.t1
MSTRG.15488.1	jg872.t1
MSTRG.18325.1	jg21948.t1
MSTRG.15494.1	jg875.t1
MSTRG.15496.1	jg876.t1
MSTRG.15506.1	jg879.t1
MSTRG.15508.1	jg880.t1
MSTRG.15509.1	jg881.t1
MSTRG.15512.1	jg883.t1
MSTRG.155.1	jg14968.t1
MSTRG.15520.1	jg886.t1
MSTRG.15522.1	jg887.t1
MSTRG.15524.1	jg888.t1
MSTRG.15528.1	jg889.t1
MSTRG.15531.1	jg891.t1
MSTRG.15532.1	jg892.t1
MSTRG.15536.1	jg893.t1
MSTRG.15537.1	jg894.t1
MSTRG.15545.1	jg897.t1
MSTRG.15554.1	jg900.t1
MSTRG.15556.1	jg901.t1
MSTRG.15561.1	jg902.t1
MSTRG.15562.1	jg904.t1
MSTRG.15564.1	jg905.t1
MSTRG.15566.1	jg906.t1
MSTRG.15575.1	jg19324.t1
MSTRG.15578.1	jg909.t1
MSTRG.27819.1	jg17188.t1
MSTRG.15582.1	jg911.t1
MSTRG.15587.1	jg912.t1
MSTRG.15590.1	jg913.t1
MSTRG.15591.1	jg914.t1
MSTRG.15592.1	jg915.t1
MSTRG.15593.1	jg916.t1
MSTRG.15594.1	jg919.t1
MSTRG.15596.1	jg921.t1
MSTRG.15597.1	jg922.t1
MSTRG.15598.1	jg923.t1
MSTRG.15599.1	jg924.t1
MSTRG.15601.1	jg925.t1
MSTRG.1560.1	jg10191.t1
MSTRG.15605.1	jg926.t1
MSTRG.15611.1	jg927.t2
MSTRG.15612.1	jg929.t1
MSTRG.15619.1	jg931.t1
MSTRG.15620.1	jg932.t1
MSTRG.15623.1	jg934.t1
MSTRG.15625.1	jg935.t1
MSTRG.15628.1	jg936.t1
MSTRG.19062.1	jg7824.t1
MSTRG.15632.1	jg937.t1
MSTRG.15640.1	jg946.t1
MSTRG.15663.1	jg967.t1
MSTRG.7919.1	jg17819.t1
MSTRG.1565.1	jg10195.t1
MSTRG.18858.1	jg7686.t1
MSTRG.1566.1	jg10196.t1
MSTRG.15664.1	jg969.t1
MSTRG.7427.1	jg13182.t1
MSTRG.15671.1	jg972.t1
MSTRG.15675.1	jg973.t1
MSTRG.15677.1	jg974.t1
MSTRG.15678.1	jg977.t1
MSTRG.15679.1	jg976.t1
MSTRG.19659.1	jg8155.t1
MSTRG.15681.1	jg980.t1
MSTRG.15683.1	jg981.t1
MSTRG.15684.1	jg982.t1
MSTRG.15688.1	jg983.t2
MSTRG.15690.1	jg984.t1
MSTRG.15691.1	jg985.t1
MSTRG.15694.1	jg998.t1
MSTRG.32014.1	jg22262.t1
MSTRG.31752.1	jg4613.t1
MSTRG.3185.1	jg12118.t1
MSTRG.17761.1	jg11664.t1
MSTRG.15716.1	jg995.t1
MSTRG.25768.1	jg14577.t1
MSTRG.28591.1	jg20265.t1
MSTRG.9258.1	jg6085.t1
MSTRG.15733.1	jg1003.t1
MSTRG.15737.1	jg1007.t1
MSTRG.15738.1	jg1008.t1
MSTRG.15739.1	jg1009.t1
MSTRG.15740.1	jg1010.t1
MSTRG.15741.1	jg1011.t1
MSTRG.7312.1	jg13124.t1
MSTRG.15743.1	jg1013.t1
MSTRG.15744.1	jg21748.t1
MSTRG.15746.1	jg1020.t1
MSTRG.24003.1	jg9524.t1
MSTRG.15753.1	jg1024.t1
MSTRG.15755.1	jg1025.t1
MSTRG.15758.1	jg1026.t1
MSTRG.15759.1	jg1027.t1
MSTRG.15760.1	jg1028.t1
MSTRG.15761.1	jg1029.t1
MSTRG.1576.1	jg10198.t1
MSTRG.15762.1	jg1030.t2
MSTRG.15764.1	jg1031.t1
MSTRG.15768.1	jg1032.t1
MSTRG.1577.1	jg10199.t1
MSTRG.15776.1	jg1034.t1
MSTRG.15785.1	jg1035.t1
MSTRG.15788.1	jg1036.t1
MSTRG.15789.1	jg1037.t3
MSTRG.15791.1	jg20742.t1
MSTRG.15793.1	jg1038.t1
MSTRG.15798.1	jg1041.t1
MSTRG.15799.1	jg1042.t1
MSTRG.15800.1	jg1043.t1
MSTRG.15801.1	jg1044.t1
MSTRG.1580.1	jg10200.t1
MSTRG.15821.1	jg1057.t2
MSTRG.15806.1	jg1046.t1
MSTRG.15807.1	jg1047.t1
MSTRG.15810.1	jg1048.t1
MSTRG.15811.1	jg1049.t1
MSTRG.15812.1	jg1051.t1
MSTRG.15813.1	jg1053.t2
MSTRG.15814.1	jg1054.t2
MSTRG.15818.1	jg1056.t1
MSTRG.15820.1	jg1055.t1
MSTRG.15826.1	jg1060.t1
MSTRG.15828.1	jg1064.t1
MSTRG.15830.1	jg1065.t1
MSTRG.15839.1	jg1067.t1
MSTRG.1584.1	jg10203.t4
MSTRG.15841.1	jg1071.t1
MSTRG.15843.1	jg1073.t1
MSTRG.15848.1	jg1074.t1
MSTRG.15851.1	jg1076.t1
MSTRG.1585.1	jg10204.t1
MSTRG.15853.1	jg1077.t1
MSTRG.15858.1	jg1081.t1
MSTRG.15859.1	jg1082.t1
MSTRG.15860.1	jg1083.t1
MSTRG.15861.1	jg1084.t1
MSTRG.1586.1	jg10206.t1
MSTRG.15866.1	jg521.t1
MSTRG.15869.1	jg1086.t1
MSTRG.15870.1	jg1087.t1
MSTRG.1587.1	jg10207.t1
MSTRG.15872.1	jg1088.t1
MSTRG.15879.1	jg1089.t1
MSTRG.1588.1	jg10208.t1
MSTRG.15882.1	jg1090.t1
MSTRG.15885.1	jg1093.t1
MSTRG.15886.1	jg1094.t1
MSTRG.15887.1	jg1095.t1
MSTRG.15888.1	jg1096.t1
MSTRG.1589.1	jg10214.t1
MSTRG.15892.1	jg1097.t1
MSTRG.15894.1	jg1099.t1
MSTRG.15899.1	jg1106.t1
MSTRG.15901.1	jg1107.t1
MSTRG.1590.1	jg10215.t1
MSTRG.15902.1	jg1108.t1
MSTRG.15905.1	jg1109.t1
MSTRG.15908.1	jg1110.t1
MSTRG.15911.1	jg1112.t1
MSTRG.1591.1	jg10216.t1
MSTRG.31748.1	jg14969.t1
MSTRG.15917.1	jg1114.t1
MSTRG.15918.1	jg1116.t1
MSTRG.15921.1	jg1124.t1
MSTRG.15929.1	jg1127.t1
MSTRG.15930.1	jg1128.t1
MSTRG.16092.1	jg1257.t1
MSTRG.15938.1	jg1143.t1
MSTRG.15942.1	jg1146.t1
MSTRG.15943.1	jg1147.t1
MSTRG.15944.1	jg1149.t1
MSTRG.15946.1	jg1150.t1
MSTRG.15949.1	jg1153.t1
MSTRG.15955.1	jg1154.t1
MSTRG.15956.1	jg1155.t1
MSTRG.15958.1	jg1156.t1
MSTRG.17048.1	jg11244.t1
MSTRG.15961.1	jg1158.t1
MSTRG.1855.1	jg10368.t1
MSTRG.15962.1	jg1159.t1
MSTRG.15963.1	jg1160.t1
MSTRG.15964.1	jg1161.t1
MSTRG.15965.1	jg1162.t1
MSTRG.15966.1	jg1163.t1
MSTRG.15977.1	jg1168.t1
MSTRG.15979.1	jg1172.t1
MSTRG.15981.1	jg1174.t1
MSTRG.15982.1	jg1175.t1
MSTRG.15983.1	jg1176.t1
MSTRG.15985.1	jg1177.t1
MSTRG.15987.1	jg1179.t1
MSTRG.15990.1	jg1180.t1
MSTRG.15991.1	jg1181.t1
MSTRG.15992.1	jg1182.t2
MSTRG.15993.1	jg1183.t1
MSTRG.15995.1	jg1184.t1
MSTRG.15999.1	jg1185.t1
MSTRG.1600.1	jg10218.t1
MSTRG.16001.1	jg1189.t1
MSTRG.16003.1	jg1190.t1
MSTRG.16004.1	jg1191.t1
MSTRG.16006.1	jg1197.t1
MSTRG.16007.1	jg1196.t1
MSTRG.16008.1	jg1198.t1
MSTRG.16010.1	jg1199.t1
MSTRG.16011.1	jg1200.t1
MSTRG.160.1	jg14970.t1
MSTRG.1601.1	jg10219.t1
MSTRG.16021.1	jg1204.t1
MSTRG.1602.1	jg10221.t1
MSTRG.16025.1	jg1205.t1
MSTRG.16030.1	jg1208.t1
MSTRG.16037.1	jg1218.t1
MSTRG.16038.1	jg1220.t1
MSTRG.19482.1	jg8056.t1
MSTRG.16040.1	jg1221.t1
MSTRG.16042.1	jg1222.t1
MSTRG.16044.1	jg1223.t1
MSTRG.16045.1	jg1224.t1
MSTRG.16047.1	jg1227.t1
MSTRG.16048.1	jg1228.t1
MSTRG.16051.1	jg1231.t1
MSTRG.1605.1	jg10222.t1
MSTRG.16052.1	jg1232.t1
MSTRG.16053.1	jg1233.t1
MSTRG.16054.1	jg1234.t1
MSTRG.16055.1	jg1235.t1
MSTRG.16058.1	jg1236.t1
MSTRG.16059.1	jg1237.t1
MSTRG.18345.1	jg21957.t2
MSTRG.16061.1	jg1238.t1
MSTRG.16063.1	jg1240.t2
MSTRG.16068.1	jg1241.t1
MSTRG.16072.1	jg1242.t1
MSTRG.16074.1	jg1243.t1
MSTRG.16075.1	jg1244.t1
MSTRG.16076.1	jg1245.t1
MSTRG.16077.1	jg1246.t1
MSTRG.16078.1	jg1247.t1
MSTRG.1608.1	jg10226.t1
MSTRG.16084.1	jg1252.t1
MSTRG.16085.1	jg1253.t1
MSTRG.16090.1	jg1254.t2
MSTRG.29985.1	jg8875.t1
MSTRG.16094.1	jg1261.t1
MSTRG.6616.1	jg6571.t1
MSTRG.22864.1	jg8947.t1
MSTRG.16104.1	jg1262.t1
MSTRG.16105.1	jg1263.t1
MSTRG.16107.1	jg1265.t1
MSTRG.1611.1	jg10229.t1
MSTRG.16119.1	jg1269.t1
MSTRG.16121.1	jg1270.t1
MSTRG.36195.1	jg12682.t1
MSTRG.16123.1	jg1271.t1
MSTRG.16124.1	jg1272.t1
MSTRG.16126.1	jg1273.t1
MSTRG.16128.1	jg1274.t1
MSTRG.16719.1	jg11055.t1
MSTRG.16135.1	jg1278.t1
MSTRG.16141.1	jg10467.t1
MSTRG.21188.1	jg6771.t1
MSTRG.16147.1	jg1280.t1
MSTRG.16219.1	jg1335.t1
MSTRG.1615.1	jg10232.t1
MSTRG.28888.1	jg4668.t1
MSTRG.16153.1	jg1284.t1
MSTRG.16155.1	jg1285.t1
MSTRG.16156.1	jg1286.t1
MSTRG.16157.1	jg1287.t1
MSTRG.16158.1	jg1288.t1
MSTRG.16.1	jg14884.t1
MSTRG.1616.1	jg10231.t1
MSTRG.16164.1	jg1290.t1
MSTRG.16166.1	jg1291.t1
MSTRG.16167.1	jg1292.t1
MSTRG.16169.1	jg1298.t1
MSTRG.16173.1	jg1299.t1
MSTRG.16174.1	jg1300.t1
MSTRG.16175.1	jg1302.t1
MSTRG.16179.1	jg1305.t1
MSTRG.36199.1	jg12684.t1
MSTRG.16185.1	jg12683.t2
MSTRG.16191.1	jg1312.t1
MSTRG.7062.1	jg12957.t1
MSTRG.16193.1	jg1316.t1
MSTRG.16194.1	jg1317.t1
MSTRG.16195.1	jg1318.t1
MSTRG.16200.1	jg1319.t1
MSTRG.16201.1	jg1320.t1
MSTRG.18179.1	jg21873.t2
MSTRG.16204.1	jg1322.t1
MSTRG.16205.1	jg1324.t1
MSTRG.16206.1	jg1325.t1
MSTRG.16210.1	jg1328.t2
MSTRG.16214.1	jg1329.t1
MSTRG.16215.1	jg1332.t1
MSTRG.16216.1	jg1333.t1
MSTRG.16218.1	jg1334.t1
MSTRG.16220.1	jg1336.t1
MSTRG.16221.1	jg1337.t1
MSTRG.16223.1	jg1338.t1
MSTRG.16224.1	jg1339.t1
MSTRG.16225.1	jg1340.t1
MSTRG.16230.1	jg1341.t1
MSTRG.16231.1	jg1342.t1
MSTRG.1623.1	jg10233.t1
MSTRG.16234.1	jg1343.t1
MSTRG.16235.1	jg1344.t1
MSTRG.16236.1	jg1346.t1
MSTRG.1624.1	jg10235.t1
MSTRG.16243.1	jg1349.t1
MSTRG.16249.1	jg1353.t1
MSTRG.16255.1	jg1354.t1
MSTRG.16256.1	jg1355.t1
MSTRG.16257.1	jg1361.t1
MSTRG.6024.1	jg21007.t1
MSTRG.1626.1	jg10236.t1
MSTRG.16265.1	jg1363.t1
MSTRG.16267.1	jg1364.t1
MSTRG.16268.1	jg1365.t1
MSTRG.16269.1	jg1366.t1
MSTRG.16270.1	jg1367.t1
MSTRG.1627.1	jg10237.t1
MSTRG.16272.1	jg1369.t1
MSTRG.16275.1	jg1372.t1
MSTRG.16276.1	jg1373.t1
MSTRG.16282.1	jg1374.t2
MSTRG.16284.1	jg1375.t1
MSTRG.1629.1	jg10240.t1
MSTRG.16293.1	jg1382.t1
MSTRG.16294.1	jg1383.t1
MSTRG.32501.1	jg16987.t1
MSTRG.16299.1	jg1386.t1
MSTRG.16301.1	jg1389.t1
MSTRG.16303.1	jg1391.t1
MSTRG.16306.1	jg1392.t1
MSTRG.16307.1	jg1393.t1
MSTRG.16309.1	jg1394.t1
MSTRG.1631.1	jg10243.t1
MSTRG.16313.1	jg1396.t2
MSTRG.16315.1	jg1397.t1
MSTRG.16317.1	jg1398.t1
MSTRG.16321.1	jg1399.t1
MSTRG.16322.1	jg1400.t1
MSTRG.16324.1	jg1402.t1
MSTRG.16326.1	jg1403.t1
MSTRG.9436.1	jg6181.t1
MSTRG.16329.1	jg1405.t1
MSTRG.23507.1	jg12778.t1
MSTRG.16332.1	jg1407.t1
MSTRG.16334.1	jg1408.t1
MSTRG.16336.1	jg1409.t1
MSTRG.1634.1	jg10244.t1
MSTRG.23985.1	jg6418.t1
MSTRG.16344.1	jg1412.t1
MSTRG.16345.1	jg1414.t1
MSTRG.16346.1	jg1415.t1
MSTRG.16349.1	jg1419.t1
MSTRG.16352.1	jg1420.t1
MSTRG.16354.1	jg1423.t1
MSTRG.17183.1	jg11316.t2
MSTRG.1636.1	jg10249.t1
MSTRG.16363.1	jg1424.t1
MSTRG.16366.1	jg19234.t1
MSTRG.16373.1	jg1428.t1
MSTRG.16375.1	jg1429.t1
MSTRG.16376.1	jg1430.t1
MSTRG.16378.1	jg1432.t1
MSTRG.16379.1	jg1433.t1
MSTRG.16380.1	jg1434.t1
MSTRG.1638.1	jg10250.t1
MSTRG.16388.1	jg1439.t1
MSTRG.1639.1	jg10251.t1
MSTRG.16393.1	jg1440.t1
MSTRG.16394.1	jg1441.t1
MSTRG.16396.1	jg1442.t1
MSTRG.16397.1	jg1443.t1
MSTRG.16399.1	jg1444.t1
MSTRG.16401.1	jg1445.t1
MSTRG.3506.1	jg12267.t1
MSTRG.16406.1	jg1448.t1
MSTRG.27041.1	jg13735.t1
MSTRG.16414.1	jg1450.t1
MSTRG.164.1	jg14971.t1
MSTRG.16416.1	jg1452.t2
MSTRG.23937.1	jg9486.t1
MSTRG.16426.1	jg1453.t1
MSTRG.16427.1	jg1454.t1
MSTRG.16429.1	jg1456.t1
MSTRG.16430.1	jg1457.t1
MSTRG.16431.1	jg1458.t1
MSTRG.1643.1	jg10252.t1
MSTRG.16432.1	jg1459.t1
MSTRG.2262.1	jg10575.t1
MSTRG.16434.1	jg1461.t1
MSTRG.16435.1	jg1464.t1
MSTRG.16436.1	jg1465.t1
MSTRG.16439.1	jg1467.t1
MSTRG.4606.1	jg3152.t1
MSTRG.16467.1	jg1487.t1
MSTRG.1644.1	jg10253.t1
MSTRG.16468.1	jg1470.t1
MSTRG.16444.1	jg1472.t1
MSTRG.6857.1	jg12848.t1
MSTRG.16446.1	jg1473.t1
MSTRG.16451.1	jg1474.t1
MSTRG.1645.1	jg10254.t1
MSTRG.16455.1	jg1478.t1
MSTRG.16456.1	jg1479.t1
MSTRG.16459.1	jg1480.t1
MSTRG.16460.1	jg21112.t1
MSTRG.16462.1	jg1482.t1
MSTRG.16463.1	jg1483.t1
MSTRG.16465.1	jg1484.t1
MSTRG.16466.1	jg1485.t1
MSTRG.16469.1	jg1490.t1
MSTRG.16470.1	jg5240.t1
MSTRG.16474.1	jg1491.t1
MSTRG.16479.1	jg1495.t1
MSTRG.16480.1	jg1493.t1
MSTRG.16482.1	jg1498.t1
MSTRG.18902.1	jg7717.t1
MSTRG.16492.1	jg1503.t1
MSTRG.16493.1	jg1504.t1
MSTRG.16494.1	jg1505.t1
MSTRG.28171.1	jg17432.t1
MSTRG.16501.1	jg12076.t1
MSTRG.1650.1	jg10256.t1
MSTRG.16504.1	jg13347.t1
MSTRG.25577.1	jg14456.t1
MSTRG.16510.1	jg1509.t2
MSTRG.1651.1	jg10257.t1
MSTRG.32346.1	jg11847.t1
MSTRG.16536.1	jg10964.t3
MSTRG.16537.1	jg10965.t1
MSTRG.16539.1	jg10966.t1
MSTRG.1654.1	jg10258.t1
MSTRG.16542.1	jg10969.t1
MSTRG.16544.1	jg10970.t1
MSTRG.16545.1	jg10971.t1
MSTRG.16547.1	jg10973.t1
MSTRG.16549.1	jg10974.t1
MSTRG.16550.1	jg10975.t1
MSTRG.16552.1	jg10976.t1
MSTRG.16553.1	jg10977.t1
MSTRG.5324.1	jg3515.t2
MSTRG.16557.1	jg10978.t1
MSTRG.16558.1	jg10981.t1
MSTRG.16560.1	jg10983.t1
MSTRG.16561.1	jg10984.t1
MSTRG.16564.1	jg10985.t1
MSTRG.19667.1	jg8164.t1
MSTRG.16568.1	jg10988.t1
MSTRG.16570.1	jg10989.t1
MSTRG.20474.1	jg8635.t1
MSTRG.16581.1	jg10994.t1
MSTRG.16583.1	jg10995.t1
MSTRG.16586.1	jg10997.t1
MSTRG.16588.1	jg10999.t1
MSTRG.16590.1	jg11002.t1
MSTRG.16593.1	jg11003.t1
MSTRG.16595.1	jg11004.t1
MSTRG.16597.1	jg11005.t1
MSTRG.16600.1	jg11007.t1
MSTRG.16602.1	jg11009.t1
MSTRG.35673.1	jg7820.t1
MSTRG.1661.1	jg10260.t1
MSTRG.166.1	jg14977.t1
MSTRG.16615.1	jg11012.t1
MSTRG.16617.1	jg11013.t1
MSTRG.16619.1	jg11014.t1
MSTRG.17852.1	jg21652.t1
MSTRG.16624.1	jg11015.t1
MSTRG.16626.1	jg11016.t1
MSTRG.16627.1	jg11017.t1
MSTRG.16629.1	jg11019.t1
MSTRG.16632.1	jg11020.t1
MSTRG.16640.1	jg11022.t1
MSTRG.1664.1	jg10262.t1
MSTRG.16643.1	jg11023.t1
MSTRG.16648.1	jg11024.t1
MSTRG.24768.1	jg5910.t1
MSTRG.16655.1	jg11026.t1
